name_with_owner,url,stargazer_count,primary_language,created_at,age,last_push,time_since_last_push,disk_usage_kb,size_formatted,name
Password4j/password4j,https://github.com/Password4j/password4j,386,Java,2020-03-09T20:40:50Z,"5 anos, 6 meses",2025-09-06T09:26:14Z,4 dias,821,821 KB,password4j
caelum/vraptor,https://github.com/caelum/vraptor,385,Java,2009-03-19T20:02:31Z,"16 anos, 5 meses",2023-01-02T21:57:24Z,"2 anos, 8 meses",182595,178.3 MB,vraptor
paulc4/mvc-exceptions,https://github.com/paulc4/mvc-exceptions,385,Java,2013-10-22T12:54:06Z,"11 anos, 10 meses",2024-07-26T17:30:06Z,"1 anos, 1 meses",731,731 KB,mvc-exceptions
wix-incubator/wix-embedded-mysql,https://github.com/wix-incubator/wix-embedded-mysql,385,Java,2014-09-24T11:07:38Z,"10 anos, 11 meses",2022-02-22T15:42:46Z,"3 anos, 6 meses",946,946 KB,wix-embedded-mysql
apache/commons-dbutils,https://github.com/apache/commons-dbutils,384,Java,2013-07-12T07:00:18Z,"12 anos, 2 meses",2025-09-05T13:37:50Z,5 dias,2282,2.2 MB,commons-dbutils
lordofthejars/nosql-unit,https://github.com/lordofthejars/nosql-unit,384,Java,2012-05-15T17:25:43Z,"13 anos, 4 meses",2022-12-14T20:32:52Z,"2 anos, 9 meses",1983,1.9 MB,nosql-unit
jsonld-java/jsonld-java,https://github.com/jsonld-java/jsonld-java,383,Java,2011-12-15T16:04:37Z,"13 anos, 9 meses",2024-01-10T13:44:29Z,"1 anos, 8 meses",3072,3.0 MB,jsonld-java
pmerienne/trident-ml,https://github.com/pmerienne/trident-ml,383,Java,2013-03-22T17:01:40Z,"12 anos, 5 meses",2023-12-16T17:19:15Z,"1 anos, 8 meses",13815,13.5 MB,trident-ml
gaul/modernizer-maven-plugin,https://github.com/gaul/modernizer-maven-plugin,382,Java,2014-09-18T00:06:51Z,"10 anos, 12 meses",2025-09-01T16:38:19Z,9 dias,907,907 KB,modernizer-maven-plugin
boyter/searchcode-server,https://github.com/boyter/searchcode-server,382,Java,2016-08-09T01:16:11Z,"9 anos, 1 meses",2025-07-14T06:12:42Z,"1 meses, 28 dias",60370,59.0 MB,searchcode-server
graphaware/neo4j-reco,https://github.com/graphaware/neo4j-reco,382,Java,2014-10-02T17:41:36Z,"10 anos, 11 meses",2021-05-05T19:26:05Z,"4 anos, 4 meses",919,919 KB,neo4j-reco
cucumber-attic/gherkin2,https://github.com/cucumber-attic/gherkin2,379,Java,2009-09-01T00:42:05Z,"16 anos, 0 meses",2016-05-26T04:55:57Z,"9 anos, 3 meses",8847,8.6 MB,gherkin2
webianks/PopupBubble,https://github.com/webianks/PopupBubble,378,Java,2016-04-21T19:23:22Z,"9 anos, 4 meses",2022-08-05T15:52:49Z,"3 anos, 1 meses",280,280 KB,PopupBubble
mdeverdelhan/ta4j-origins,https://github.com/mdeverdelhan/ta4j-origins,377,Java,2013-12-22T09:53:55Z,"11 anos, 8 meses",2025-05-16T19:16:58Z,"3 meses, 27 dias",2994,2.9 MB,ta4j-origins
OpenOLAT/OpenOLAT,https://github.com/OpenOLAT/OpenOLAT,377,Java,2018-03-29T09:46:34Z,"7 anos, 5 meses",2025-09-10T14:46:41Z,0 dias,597590,583.6 MB,OpenOLAT
wiverson/maven-jpackage-template,https://github.com/wiverson/maven-jpackage-template,376,Java,2020-10-25T02:33:34Z,"4 anos, 10 meses",2022-10-11T17:46:09Z,"2 anos, 11 meses",146219,142.8 MB,maven-jpackage-template
ManuelPeinado/QuickReturnHeader,https://github.com/ManuelPeinado/QuickReturnHeader,376,Java,2013-06-02T12:35:09Z,"12 anos, 3 meses",2013-06-15T07:49:15Z,"12 anos, 3 meses",939,939 KB,QuickReturnHeader
oktayayr/advancedtextview,https://github.com/oktayayr/advancedtextview,376,Java,2016-05-20T12:40:45Z,"9 anos, 3 meses",2018-04-03T11:41:08Z,"7 anos, 5 meses",3343,3.3 MB,advancedtextview
apache/commons-compress,https://github.com/apache/commons-compress,375,Java,2011-10-15T07:00:08Z,"13 anos, 11 meses",2025-09-09T23:35:19Z,0 dias,74123,72.4 MB,commons-compress
apache/commons-cli,https://github.com/apache/commons-cli,374,Java,2009-05-28T08:00:15Z,"16 anos, 3 meses",2025-09-05T13:35:00Z,5 dias,4114,4.0 MB,commons-cli
chrisvest/stormpot,https://github.com/chrisvest/stormpot,374,Java,2011-03-22T12:27:06Z,"14 anos, 5 meses",2025-05-22T23:10:46Z,"3 meses, 21 dias",29685,29.0 MB,stormpot
zhangxuyang321/StepView,https://github.com/zhangxuyang321/StepView,374,Java,2017-02-10T09:43:27Z,"8 anos, 7 meses",2018-01-10T11:26:36Z,"7 anos, 8 meses",2872,2.8 MB,StepView
ShaftHQ/SHAFT_ENGINE,https://github.com/ShaftHQ/SHAFT_ENGINE,371,Java,2018-07-15T07:02:02Z,"7 anos, 1 meses",2025-09-10T08:00:57Z,0 dias,319534,312.0 MB,SHAFT_ENGINE
TyCoding/ssm,https://github.com/TyCoding/ssm,370,Java,2018-04-25T14:05:24Z,"7 anos, 4 meses",2022-12-16T07:02:06Z,"2 anos, 8 meses",1596,1.6 MB,ssm
